2021-11-09 20:04:22.248458 2514 parked at 10
2021-11-10 17:03:21.592867 car 7764 parked at 7
2021-11-10 17:03:45.050636 car 6581 parked at 9
2021-11-10 17:05:36.193770 car 8101 parked at 11
2021-11-10 17:05:39.376321 car 2736 parked at 13
2021-11-10 17:05:42.243079 car 3593 parked at 5
2021-11-10 17:06:36.214233 car 1821 parked at 7
2021-11-10 17:06:39.353955 car 8312 parked at 5
2021-11-10 17:08:17.654841 car 6918 parked at 18
2021-11-10 17:08:20.549745 car 5232 parked at 4
2021-11-10 17:08:23.706604 car 2968 parked at 15
2021-11-10 17:08:26.512294 car 9608 parked at 6
2021-11-10 23:03:19.241516 car 8484 parked at 18
2021-11-10 23:03:51.232603 car 6268 parked at 7
2021-11-10 23:04:22.939761 car 5784 parked at 6
2021-11-10 23:04:27.664526 car 2076 parked at 20
2021-11-10 23:04:31.168251 car 7469 parked at 8
2021-11-10 23:04:41.936379 car 3653 parked at 5
2021-11-10 23:04:47.672719 car 3897 parked at 3
2021-11-10 23:04:52.883789 car 2506 parked at 14
2021-11-10 23:05:20.083696 car 5352 parked at 16
2021-11-10 23:13:06.636544 car 4094 parked at 9
2021-11-10 23:16:09.942858 car 8870 parked at 20
2021-11-10 23:16:47.262952 car 4036 parked at 19
2021-11-10 23:17:20.863517 car 5551 parked at 19
2021-11-10 23:17:31.200212 car 5551 parked at 7
2021-11-10 23:17:41.642461 car 5551 parked at 9
2021-11-10 23:17:45.726492 car 5551 parked at 3
2021-11-10 23:17:48.848896 car 1433 parked at 4
2021-11-10 23:30:20.904865 car 5551 parked at 5
2021-11-10 23:31:29.014394 car 5551 parked at 8
2021-11-10 23:38:05.883211 car 0364 parked at 11
2021-11-10 23:43:31.628009 car 1433 parked at 5
2021-11-10 23:49:10.454052 car 0364 parked at 16
2021-11-10 23:49:25.597483 car 0364 parked at 20
2021-11-10 23:49:29.887077 car 0364 exited at 20
2021-11-11 11:08:41.644234 car 5551 parked at 3
2021-11-11 11:13:55.136618 car 0364 parked at 6
2021-11-11 11:14:52.490762 car 0364 parked at 19
2021-11-11 11:16:35.929850 car 1433 parked at 10
2021-11-11 11:24:13.272320 car 0364 parked at 4
2021-11-11 11:26:29.151864 car 1433 parked at 7
2021-11-11 11:26:34.683764 car 1433 parked at 9
2021-11-11 11:27:36.239501 car 5551 parked at 13
2021-11-11 11:28:19.529503 car 1433 parked at 4
2021-11-11 11:32:26.197979 car 0364 parked at 12
2021-11-11 11:33:00.209493 car 5551 parked at 13
2021-11-11 11:33:08.372414 car 1433 parked at 16
2021-11-11 11:33:39.330587 car 0364 parked at 9
2021-11-11 11:33:52.099113 car 5551 parked at 16
2021-11-11 11:34:27.900133 car 1433 parked at 6
2021-11-11 11:34:32.317451 car 0364 parked at 11
2021-11-11 11:34:36.741657 car 1433 exited at 6
2021-11-11 15:35:20.114271 car 1433 parked at 4
2021-11-11 15:35:31.094618 car 1433 parked at 20
2021-11-11 15:35:36.833077 car 5551 parked at 10
2021-11-11 15:35:42.575738 car 1433 parked at 8
2021-11-11 15:36:12.317044 car 5551 parked at 9
2021-11-11 15:38:39.049175 car 0364 parked at 17
2021-11-11 15:38:51.690750 car 1433 parked at 18
2021-11-11 15:38:58.776191 car 0364 parked at 9
2021-11-11 15:39:05.069777 car 0364 exited at 17
2021-11-11 15:48:54.174146 car 5551 parked at 4
2021-11-11 15:48:58.190400 car 5551 parked at 12
2021-11-11 15:49:02.440794 car 1433 parked at 16
2021-11-11 15:49:06.148508 car 5551 parked at 3
2021-11-11 15:49:09.548861 car 0364 parked at 18
2021-11-11 15:53:19.196842 car 0364 parked at 17
2021-11-11 15:53:25.674378 car 0364 exited at 17
2021-11-11 15:55:29.048237 car 4950 exited at 4
2021-11-11 15:59:27.201063 car 1145 exited at 20
2021-11-11 15:59:49.437869 car 0364 parked at 15
2021-11-11 16:00:05.635635 car 5551 parked at 7
2021-11-11 16:05:46.811404 car 5551 parked at 7
2021-11-11 16:06:57.199059 car 0364 parked at 18
2021-11-11 16:07:32.052145 car 0364 parked at 7
2021-11-11 16:11:15.978924 car 0364 parked at 11
2021-11-11 16:11:19.110379 car 0364 parked at 18
2021-11-11 16:11:22.654604 car 1433 parked at 19
2021-11-11 16:11:25.845322 car 5551 parked at 17
2021-11-11 16:11:28.908957 car 0364 parked at 5
2021-11-11 16:11:32.089570 car 5551 parked at 16
2021-11-11 16:11:35.148949 car 0364 parked at 7
2021-11-11 16:11:59.393876 car 5551 parked at 6
2021-11-11 16:12:04.126836 car 5551 parked at 8
2021-11-11 16:12:07.226514 car 0364 parked at 15
2021-11-11 16:12:10.719804 car 1433 parked at 3
2021-11-11 16:12:13.915963 car 5551 parked at 9
2021-11-11 16:12:16.969959 car 0364 parked at 14
2021-11-11 16:12:25.457790 car 5551 parked at 13
2021-11-11 16:12:32.193399 car 1433 parked at 10
2021-11-11 16:12:44.109561 car 8087 exited at 1
2021-11-11 16:12:55.261939 car 2849 exited at 12
2021-11-11 16:12:58.013590 car 9774 exited at 4
2021-11-11 16:12:58.525521 car 1433 exited at 19
2021-11-11 16:12:59.032886 car 9420 exited at 20
2021-11-11 16:12:59.545806 car 5551 exited at 16
2021-11-11 16:13:00.053794 car 1178 exited at 2
2021-11-11 16:13:00.565616 car 0364 exited at 7
2021-11-11 16:13:01.066522 car 5551 exited at 13
2021-11-11 16:13:01.569750 car 0364 exited at 5
2021-11-11 16:13:06.641084 car 5551 exited at 6
2021-11-11 16:13:07.149963 car 0364 exited at 18
2021-11-11 16:13:07.659338 car 5551 exited at 8
2021-11-11 16:13:08.167095 car 5551 exited at 9
2021-11-11 16:13:10.960531 car 0364 exited at 11
2021-11-11 16:13:11.472848 car 0364 exited at 14
2021-11-11 16:13:14.807966 car 0364 exited at 15
2021-11-11 16:13:18.473241 car 1433 exited at 3
2021-11-11 16:13:20.733581 car 5551 exited at 17
2021-11-11 16:13:22.631954 car 1433 exited at 10
2021-11-11 16:21:07.585033 car 0364 parked at 6
2021-11-11 16:21:28.629870 car 1433 parked at 18
2021-11-11 16:21:32.102171 car 1433 parked at 8
2021-11-11 16:21:35.212173 car 0364 parked at 14
2021-11-11 16:21:38.384593 car 5551 parked at 7
2021-11-11 16:21:41.825069 car 1433 parked at 19
2021-11-11 16:24:16.382604 car 5551 parked at 15
2021-11-11 16:24:25.053165 car 1733 exited at 4
2021-11-11 16:38:29.242449 car 1433 parked at 13
2021-11-11 16:38:43.708183 car 0364 parked at 15
2021-11-11 16:38:46.819491 car 0364 parked at 17
2021-11-11 16:39:16.455927 car 6107 exited at 1
2021-11-11 16:39:26.106526 car 4382 exited at 2
2021-11-11 16:39:26.618291 car 8568 exited at 12
2021-11-11 17:23:01.291577 car 0364 parked at 16
2021-11-11 17:23:14.271829 car 2157 exited at 1
2021-11-11 17:31:20.931077 car 0364 parked at 5
2021-11-12 15:49:49.905525 car 0364 parked at 3
2021-11-12 15:52:06.426441 car 1433 parked at 3
2021-11-12 15:55:39.051879 car 3237 exited at 2
2021-11-12 15:56:52.064827 car 6428 exited at 1
2021-11-12 15:57:13.449283 car 5551 parked at 1
2021-11-12 15:57:21.103571 car 5551 exited at 1
2021-11-12 16:00:09.550720 car 5551 parked at 10
2021-11-12 16:00:12.909190 car 1433 parked at 11
2021-11-12 16:00:17.476209 car 1433 parked at 5
2021-11-12 16:00:58.985585 car 0364 parked at 3
2021-11-12 16:02:53.134688 car 7793 exited at 1
2021-11-12 16:03:06.995378 car 9850 exited at 2
2021-11-12 16:03:33.230268 car 6441 exited at 1
2021-11-12 16:03:37.254567 car 1423 exited at 2
2021-11-12 16:03:40.909670 car 7976 exited at 4
2021-11-12 16:03:46.604711 car 2858 exited at 12
2021-11-12 16:03:51.582843 car 1693 exited at 20
2021-11-12 16:04:06.358552 car 5551 parked at 1
2021-11-12 16:04:53.199887 car 3083 exited at 1
2021-11-12 16:04:55.683880 car 7278 exited at 2
2021-11-12 16:04:58.389397 car 1492 exited at 4
2021-11-12 16:05:08.396413 car 2186 exited at 12
2021-11-12 16:05:12.557244 car 2016 exited at 20
2021-11-12 16:05:22.769666 car 0364 parked at 1
2021-11-12 16:05:25.596739 car 0364 parked at 2
2021-11-12 16:05:28.473939 car 0364 parked at 3
2021-11-12 16:05:31.327585 car 0364 parked at 4
2021-11-12 16:05:34.130114 car 0364 parked at 5
2021-11-12 16:05:37.192407 car 1433 parked at 6
2021-11-12 16:05:40.277666 car 1433 parked at 7
2021-11-12 16:05:43.156104 car 5551 parked at 8
2021-11-12 16:05:45.941920 car 0364 parked at 9
2021-11-12 16:05:48.839658 car 5551 parked at 10
2021-11-12 16:05:51.649565 car 0364 parked at 11
2021-11-12 16:05:54.482516 car 0364 parked at 12
2021-11-12 16:05:57.724440 car 1433 parked at 13
2021-11-12 16:06:00.672917 car 5551 parked at 14
2021-11-12 16:06:03.572762 car 5551 parked at 15
2021-11-12 16:06:06.536488 car 5551 parked at 16
2021-11-12 16:06:09.757959 car 1433 parked at 17
2021-11-12 16:06:12.599137 car 0364 parked at 18
2021-11-12 16:06:26.894153 car 1433 parked at 19
2021-11-12 16:06:33.871768 car 5551 parked at 20
2021-11-12 16:06:57.588809 car 0364 exited at 1
2021-11-12 16:07:07.612156 car 0364 parked at 1
2021-11-12 17:01:26.432097 car 5551 parked at 3
2021-11-12 17:01:40.066287 car 5551 exited at 3
